# Berry curvature in unit of (Angstrom^2)  
#                                      Sum over 1-NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
   -1.166523   -0.673492    0.000000  0.0000E+00  0.0000E+00 -0.1021E+01  0.0000E+00  0.0000E+00 -0.1021E+01  0.0000E+00  0.0000E+00 -0.1021E+01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.153342   -0.650662    0.000000  0.0000E+00  0.0000E+00 -0.1000E+01  0.0000E+00  0.0000E+00 -0.1000E+01  0.0000E+00  0.0000E+00 -0.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.140161   -0.627832    0.000000  0.0000E+00  0.0000E+00 -0.9701E+00  0.0000E+00  0.0000E+00 -0.9701E+00  0.0000E+00  0.0000E+00 -0.9701E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.126980   -0.605002    0.000000  0.0000E+00  0.0000E+00 -0.9311E+00  0.0000E+00  0.0000E+00 -0.9311E+00  0.0000E+00  0.0000E+00 -0.9311E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.113799   -0.582171    0.000000  0.0000E+00  0.0000E+00 -0.8846E+00  0.0000E+00  0.0000E+00 -0.8846E+00  0.0000E+00  0.0000E+00 -0.8846E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.100618   -0.559341    0.000000  0.0000E+00  0.0000E+00 -0.8324E+00  0.0000E+00  0.0000E+00 -0.8324E+00  0.0000E+00  0.0000E+00 -0.8324E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.087437   -0.536511    0.000000  0.0000E+00  0.0000E+00 -0.7768E+00  0.0000E+00  0.0000E+00 -0.7768E+00  0.0000E+00  0.0000E+00 -0.7768E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.074256   -0.513681    0.000000  0.0000E+00  0.0000E+00 -0.7199E+00  0.0000E+00  0.0000E+00 -0.7199E+00  0.0000E+00  0.0000E+00 -0.7199E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.061075   -0.490850    0.000000  0.0000E+00  0.0000E+00 -0.6641E+00  0.0000E+00  0.0000E+00 -0.6641E+00  0.0000E+00  0.0000E+00 -0.6641E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.047893   -0.468020    0.000000  0.0000E+00  0.0000E+00 -0.6115E+00  0.0000E+00  0.0000E+00 -0.6115E+00  0.0000E+00  0.0000E+00 -0.6115E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.034712   -0.445190    0.000000  0.0000E+00  0.0000E+00 -0.5642E+00  0.0000E+00  0.0000E+00 -0.5642E+00  0.0000E+00  0.0000E+00 -0.5642E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.021531   -0.422360    0.000000  0.0000E+00  0.0000E+00 -0.5237E+00  0.0000E+00  0.0000E+00 -0.5237E+00  0.0000E+00  0.0000E+00 -0.5237E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -1.008350   -0.399529    0.000000  0.0000E+00  0.0000E+00 -0.4915E+00  0.0000E+00  0.0000E+00 -0.4915E+00  0.0000E+00  0.0000E+00 -0.4915E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.995169   -0.376699    0.000000  0.0000E+00  0.0000E+00 -0.4686E+00  0.0000E+00  0.0000E+00 -0.4686E+00  0.0000E+00  0.0000E+00 -0.4686E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.981988   -0.353869    0.000000  0.0000E+00  0.0000E+00 -0.4556E+00  0.0000E+00  0.0000E+00 -0.4556E+00  0.0000E+00  0.0000E+00 -0.4556E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.968807   -0.331039    0.000000  0.0000E+00  0.0000E+00 -0.4530E+00  0.0000E+00  0.0000E+00 -0.4530E+00  0.0000E+00  0.0000E+00 -0.4530E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.955626   -0.308208    0.000000  0.0000E+00  0.0000E+00 -0.4608E+00  0.0000E+00  0.0000E+00 -0.4608E+00  0.0000E+00  0.0000E+00 -0.4608E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.942445   -0.285378    0.000000  0.0000E+00  0.0000E+00 -0.4789E+00  0.0000E+00  0.0000E+00 -0.4789E+00  0.0000E+00  0.0000E+00 -0.4789E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.929264   -0.262548    0.000000  0.0000E+00  0.0000E+00 -0.5065E+00  0.0000E+00  0.0000E+00 -0.5065E+00  0.0000E+00  0.0000E+00 -0.5065E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.916083   -0.239718    0.000000  0.0000E+00  0.0000E+00 -0.5430E+00  0.0000E+00  0.0000E+00 -0.5430E+00  0.0000E+00  0.0000E+00 -0.5430E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.902902   -0.216887    0.000000  0.0000E+00  0.0000E+00 -0.5871E+00  0.0000E+00  0.0000E+00 -0.5871E+00  0.0000E+00  0.0000E+00 -0.5871E+00  0.0000E+00  0.0000E+00  0.0000E+00
   -0.889721   -0.194057    0.000000  0.0000E+00  0.0000E+00 -0.6373E+00  0.0000E+00  0.0000E+00 -0.6373E+00  0.0000E+00  0.0000E+00 -0.6373E+00  0.0000E+00  0.0000E+00  0.0000E+00
