#       # k              E            BS weight       TS weight
      0.5656516     -2.5350510       0.0002224       0.0002604
      0.5913630     -2.4934192       0.0002204       0.0002597
      0.6170744     -2.4502784       0.0002183       0.0002590
      0.6427859     -2.4056722       0.0002162       0.0002583
      0.6684973     -2.3596457       0.0002140       0.0002574
      0.6942087     -2.3122456       0.0002116       0.0002565
      0.7199202     -2.2635202       0.0002092       0.0002555
      0.7456316     -2.2135191       0.0002067       0.0002545
      0.7713430     -2.1622932       0.0002041       0.0002534
      0.7970545     -2.1098950       0.0002014       0.0002521
      0.8227659     -2.0563782       0.0001986       0.0002509
      0.8484774     -2.0017977       0.0001957       0.0002495
      0.8741888     -1.9462095       0.0001927       0.0002481
      0.8999002     -1.8896711       0.0001896       0.0002466
      0.9256117     -1.8322408       0.0001864       0.0002450
      0.9513231     -1.7739779       0.0001832       0.0002434
      0.9770345     -1.7149429       0.0001799       0.0002417
      1.0027460     -1.6551972       0.0001766       0.0002400
      1.0284574     -1.5948029       0.0001732       0.0002383
      1.0541688     -1.5338231       0.0001699       0.0002366
      1.0798803     -1.4723218       0.0001668       0.0002351
      1.1055917     -1.4103637       0.0001638       0.0002337
      1.1313031     -1.3480142       0.0001611       0.0002328
      1.1570146     -1.2853396       0.0001591       0.0002325
      1.1827260     -1.2224070       0.0001583       0.0002335
      1.2084374     -1.1592842       0.0001598       0.0002376
      1.2341489     -1.0960404       0.0001688       0.0002523
      1.2598603     -1.0327466       0.0004224       0.0006315
      1.2855717     -1.0895360       0.0001745       0.0002475
      1.3112832     -1.1479587       0.0001692       0.0002285
      1.3369946     -1.2067824       0.0001711       0.0002208
      1.3627061     -1.2658820       0.0001749       0.0002168
      1.3884175     -1.3251426       0.0001794       0.0002146
      1.4141289     -1.3844572       0.0001840       0.0002135
      1.4398404     -1.4437252       0.0001887       0.0002132
      1.4655518     -1.5028520       0.0001932       0.0002134
      1.4912632     -1.5617476       0.0001976       0.0002139
      1.5169747     -1.6203260       0.0002018       0.0002148
      1.5426861     -1.6785049       0.0002057       0.0002159
      1.5683975     -1.7362049       0.0002094       0.0002172
      1.5941090     -1.7933497       0.0002129       0.0002186
      1.6198204     -1.8498654       0.0002162       0.0002200
      1.6455318     -1.9056805       0.0002192       0.0002216
      1.6712433     -1.9607257       0.0002221       0.0002231
      1.6969547     -2.0149336       0.0002247       0.0002247
      1.7226661     -2.0682390       0.0002272       0.0002263
      1.7483776     -2.1205785       0.0002295       0.0002279
      1.7740890     -2.1718907       0.0002316       0.0002295
      1.7998004     -2.2221159       0.0002336       0.0002311
      1.8255119     -2.2711961       0.0002355       0.0002327
      1.8512233     -2.3190754       0.0002372       0.0002342
      1.8769348     -2.3656993       0.0002387       0.0002357
      1.9026462     -2.4110155       0.0002402       0.0002372
      1.9283576     -2.4549731       0.0002415       0.0002386
      1.9540691     -2.4975232       0.0002427       0.0002400
      1.9797805     -2.5386186       0.0002438       0.0002414
      2.0054919     -2.5782141       0.0002448       0.0002427
      2.0312034     -2.6162662       0.0002457       0.0002440
      2.0569148     -2.6527332       0.0002465       0.0002453
      2.0826262     -2.6875753       0.0002473       0.0002465
      2.1083377     -2.7207547       0.0002479       0.0002476
      2.1340491     -2.7522354       0.0002485       0.0002488
      2.1597605     -2.7819832       0.0002490       0.0002498
      2.1854720     -2.8099661       0.0002494       0.0002509
      2.2111834     -2.8361537       0.0002497       0.0002519
      2.2368948     -2.8605179       0.0002500       0.0002528
