# Orbital magnetization in unit of Bohr magneton \mu_B
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
#                                      Sum over 1~NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z
   -0.823816   -0.079906    0.000000  0.0000E+00  0.0000E+00  0.3142E-01  0.0000E+00  0.0000E+00  0.3142E-01  0.0000E+00  0.0000E+00  0.3142E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.810635   -0.057076    0.000000  0.0000E+00  0.0000E+00  0.3301E-01  0.0000E+00  0.0000E+00  0.3301E-01  0.0000E+00  0.0000E+00  0.3301E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.797454   -0.034245    0.000000  0.0000E+00  0.0000E+00  0.3436E-01  0.0000E+00  0.0000E+00  0.3436E-01  0.0000E+00  0.0000E+00  0.3436E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.784272   -0.011415    0.000000  0.0000E+00  0.0000E+00  0.3544E-01  0.0000E+00  0.0000E+00  0.3544E-01  0.0000E+00  0.0000E+00  0.3544E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.771091    0.011415    0.000000  0.0000E+00  0.0000E+00  0.3623E-01  0.0000E+00  0.0000E+00  0.3623E-01  0.0000E+00  0.0000E+00  0.3623E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.757910    0.034245    0.000000  0.0000E+00  0.0000E+00  0.3673E-01  0.0000E+00  0.0000E+00  0.3673E-01  0.0000E+00  0.0000E+00  0.3673E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.744729    0.057076    0.000000  0.0000E+00  0.0000E+00  0.3694E-01  0.0000E+00  0.0000E+00  0.3694E-01  0.0000E+00  0.0000E+00  0.3694E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.731548    0.079906    0.000000  0.0000E+00  0.0000E+00  0.3689E-01  0.0000E+00  0.0000E+00  0.3689E-01  0.0000E+00  0.0000E+00  0.3689E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.718367    0.102736    0.000000  0.0000E+00  0.0000E+00  0.3663E-01  0.0000E+00  0.0000E+00  0.3663E-01  0.0000E+00  0.0000E+00  0.3663E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.705186    0.125566    0.000000  0.0000E+00  0.0000E+00  0.3620E-01  0.0000E+00  0.0000E+00  0.3620E-01  0.0000E+00  0.0000E+00  0.3620E-01  0.0000E+00  0.0000E+00  0.0000E+00
