# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -1.606105    0.000000    0.197241    0.024719    0.000000    0.999694
   -1.606105    0.000000    0.253595    0.030443    0.000000    0.999537
   -1.606105    0.000000    0.309950    0.035313    0.000000    0.999376
   -1.606105    0.000000    0.366305    0.039274    0.000000    0.999228
   -1.606105    0.000000    0.422659    0.042321    0.000000    0.999104
   -1.606105    0.000000    0.479014    0.044487    0.000000    0.999010
   -1.606105    0.000000    0.535368    0.045830    0.000000    0.998949
   -1.606105    0.000000    0.591723    0.046428    0.000000    0.998922
   -1.606105    0.000000    0.648077    0.046367    0.000000    0.998924
   -1.606105    0.000000    0.704432    0.045732    0.000000    0.998954
   -1.606105    0.000000    0.760786    0.044606    0.000000    0.999005
   -1.606105    0.000000    0.817141    0.043065    0.000000    0.999072
   -1.606105    0.000000    0.873496    0.041179    0.000000    0.999152
   -1.606105    0.000000    0.929850    0.039007    0.000000    0.999239
   -1.606105    0.000000    0.986205    0.036602    0.000000    0.999330
   -1.606105    0.000000    1.042559    0.034006    0.000000    0.999422
   -1.606105    0.000000    1.098914    0.031257    0.000000    0.999511
   -1.606105    0.000000    1.155268    0.028385    0.000000    0.999597
   -1.606105    0.000000    1.211623    0.025417    0.000000    0.999677
   -1.606105    0.000000    1.267977    0.022371    0.000000    0.999750
   -1.606105    0.000000    1.324332    0.019266    0.000000    0.999814
   -1.606105    0.000000    1.380686    0.016115    0.000000    0.999870
   -1.606105    0.000000    1.437041    0.012929    0.000000    0.999916
   -1.606105    0.000000    1.493396    0.009717    0.000000    0.999953
   -1.606105    0.000000    1.549750    0.006487    0.000000    0.999979
   -1.606105    0.000000    1.606105    0.003246    0.000000    0.999995
   -1.606105    0.000000    1.662459    0.000000    0.000000    1.000000
  
   -1.549750    0.000000   -1.662459   -0.000000    0.000000    1.000000
   -1.549750    0.000000   -1.606105   -0.006535    0.000000    0.999979
   -1.549750    0.000000   -1.549750   -0.013059    0.000000    0.999915
   -1.549750    0.000000   -1.493396   -0.019557    0.000000    0.999809
   -1.549750    0.000000   -1.437041   -0.026017    0.000000    0.999662
   -1.549750    0.000000   -1.380686   -0.032421    0.000000    0.999474
   -1.549750    0.000000   -1.324332   -0.038751    0.000000    0.999249
   -1.549750    0.000000   -1.267977   -0.044983    0.000000    0.998988
   -1.549750    0.000000   -1.211623   -0.051089    0.000000    0.998694
   -1.549750    0.000000   -1.155268   -0.057034    0.000000    0.998372
   -1.549750    0.000000   -1.098914   -0.062777    0.000000    0.998028
   -1.549750    0.000000   -1.042559   -0.068266    0.000000    0.997667
   -1.549750    0.000000   -0.986205   -0.073441    0.000000    0.997300
   -1.549750    0.000000   -0.929850   -0.078228    0.000000    0.996935
   -1.549750    0.000000   -0.873496   -0.082540    0.000000    0.996588
   -1.549750    0.000000   -0.817141   -0.086276    0.000000    0.996271
   -1.549750    0.000000   -0.760786   -0.089316    0.000000    0.996003
   -1.549750    0.000000   -0.704432   -0.091526    0.000000    0.995803
   -1.549750    0.000000   -0.648077   -0.092756    0.000000    0.995689
   -1.549750    0.000000   -0.591723   -0.092843    0.000000    0.995681
   -1.549750    0.000000   -0.535368   -0.091619    0.000000    0.995794
   -1.549750    0.000000   -0.479014   -0.088914    0.000000    0.996039
   -1.549750    0.000000   -0.422659   -0.084576    0.000000    0.996417
   -1.549750    0.000000   -0.366305   -0.078485    0.000000    0.996915
   -1.549750    0.000000   -0.309950   -0.070574    0.000000    0.997507
   -1.549750    0.000000   -0.253595   -0.060849    0.000000    0.998147
   -1.549750    0.000000   -0.197241   -0.049417    0.000000    0.998778
   -1.549750    0.000000   -0.140886   -0.036489    0.000000    0.999334
   -1.549750    0.000000   -0.084532   -0.022393    0.000000    0.999749
   -1.549750    0.000000   -0.028177   -0.007550    0.000000    0.999971
   -1.549750    0.000000    0.028177    0.007550    0.000000    0.999971
   -1.549750    0.000000    0.084532    0.022393    0.000000    0.999749
   -1.549750    0.000000    0.140886    0.036489    0.000000    0.999334
   -1.549750    0.000000    0.197241    0.049417    0.000000    0.998778
   -1.549750    0.000000    0.253595    0.060849    0.000000    0.998147
   -1.549750    0.000000    0.309950    0.070574    0.000000    0.997507
   -1.549750    0.000000    0.366305    0.078485    0.000000    0.996915
   -1.549750    0.000000    0.422659    0.084576    0.000000    0.996417
   -1.549750    0.000000    0.479014    0.088914    0.000000    0.996039
   -1.549750    0.000000    0.535368    0.091619    0.000000    0.995794
   -1.549750    0.000000    0.591723    0.092843    0.000000    0.995681
   -1.549750    0.000000    0.648077    0.092756    0.000000    0.995689
   -1.549750    0.000000    0.704432    0.091526    0.000000    0.995803
   -1.549750    0.000000    0.760786    0.089316    0.000000    0.996003
   -1.549750    0.000000    0.817141    0.086276    0.000000    0.996271
   -1.549750    0.000000    0.873496    0.082540    0.000000    0.996588
   -1.549750    0.000000    0.929850    0.078228    0.000000    0.996935
   -1.549750    0.000000    0.986205    0.073441    0.000000    0.997300
   -1.549750    0.000000    1.042559    0.068266    0.000000    0.997667
   -1.549750    0.000000    1.098914    0.062777    0.000000    0.998028
   -1.549750    0.000000    1.155268    0.057034    0.000000    0.998372
   -1.549750    0.000000    1.211623    0.051089    0.000000    0.998694
   -1.549750    0.000000    1.267977    0.044983    0.000000    0.998988
   -1.549750    0.000000    1.324332    0.038751    0.000000    0.999249
   -1.549750    0.000000    1.380686    0.032421    0.000000    0.999474
   -1.549750    0.000000    1.437041    0.026017    0.000000    0.999662
   -1.549750    0.000000    1.493396    0.019557    0.000000    0.999809
   -1.549750    0.000000    1.549750    0.013059    0.000000    0.999915
   -1.549750    0.000000    1.606105    0.006535    0.000000    0.999979
   -1.549750    0.000000    1.662459    0.000000    0.000000    1.000000
  
   -1.493396    0.000000   -1.662459   -0.000000    0.000000    1.000000
   -1.493396    0.000000   -1.606105   -0.009911    0.000000    0.999951
   -1.493396    0.000000   -1.549750   -0.019802    0.000000    0.999804
   -1.493396    0.000000   -1.493396   -0.029650    0.000000    0.999560
   -1.493396    0.000000   -1.437041   -0.039432    0.000000    0.999222
   -1.493396    0.000000   -1.380686   -0.049121    0.000000    0.998793
   -1.493396    0.000000   -1.324332   -0.058685    0.000000    0.998277
   -1.493396    0.000000   -1.267977   -0.068087    0.000000    0.997679
   -1.493396    0.000000   -1.211623   -0.077283    0.000000    0.997009
   -1.493396    0.000000   -1.155268   -0.086219    0.000000    0.996276
   -1.493396    0.000000   -1.098914   -0.094831    0.000000    0.995493
   -1.493396    0.000000   -1.042559   -0.103042    0.000000    0.994677
   -1.493396    0.000000   -0.986205   -0.110761    0.000000    0.993847
   -1.493396    0.000000   -0.929850   -0.117879    0.000000    0.993028
   -1.493396    0.000000   -0.873496   -0.124267    0.000000    0.992249
   -1.493396    0.000000   -0.817141   -0.129776    0.000000    0.991543
   -1.493396    0.000000   -0.760786   -0.134234    0.000000    0.990950
   -1.493396    0.000000   -0.704432   -0.137444    0.000000    0.990510
   -1.493396    0.000000   -0.648077   -0.139188    0.000000    0.990266
   -1.493396    0.000000   -0.591723   -0.139230    0.000000    0.990260
   -1.493396    0.000000   -0.535368   -0.137323    0.000000    0.990526
   -1.493396    0.000000   -0.479014   -0.133221    0.000000    0.991086
   -1.493396    0.000000   -0.422659   -0.126696    0.000000    0.991942
   -1.493396    0.000000   -0.366305   -0.117568    0.000000    0.993065
   -1.493396    0.000000   -0.309950   -0.105728    0.000000    0.994395
   -1.493396    0.000000   -0.253595   -0.091180    0.000000    0.995834
   -1.493396    0.000000   -0.197241   -0.074070    0.000000    0.997253
   -1.493396    0.000000   -0.140886   -0.054710    0.000000    0.998502
   -1.493396    0.000000   -0.084532   -0.033582    0.000000    0.999436
   -1.493396    0.000000   -0.028177   -0.011324    0.000000    0.999936
   -1.493396    0.000000    0.028177    0.011324    0.000000    0.999936
   -1.493396    0.000000    0.084532    0.033582    0.000000    0.999436
   -1.493396    0.000000    0.140886    0.054710    0.000000    0.998502
   -1.493396    0.000000    0.197241    0.074070    0.000000    0.997253
   -1.493396    0.000000    0.253595    0.091180    0.000000    0.995834
   -1.493396    0.000000    0.309950    0.105728    0.000000    0.994395
   -1.493396    0.000000    0.366305    0.117568    0.000000    0.993065
   -1.493396    0.000000    0.422659    0.126696    0.000000    0.991942
   -1.493396    0.000000    0.479014    0.133221    0.000000    0.991086
   -1.493396    0.000000    0.535368    0.137323    0.000000    0.990526
   -1.493396    0.000000    0.591723    0.139230    0.000000    0.990260
   -1.493396    0.000000    0.648077    0.139188    0.000000    0.990266
   -1.493396    0.000000    0.704432    0.137444    0.000000    0.990510
   -1.493396    0.000000    0.760786    0.134234    0.000000    0.990950
   -1.493396    0.000000    0.817141    0.129776    0.000000    0.991543
   -1.493396    0.000000    0.873496    0.124267    0.000000    0.992249
   -1.493396    0.000000    0.929850    0.117879    0.000000    0.993028
   -1.493396    0.000000    0.986205    0.110761    0.000000    0.993847
   -1.493396    0.000000    1.042559    0.103042    0.000000    0.994677
   -1.493396    0.000000    1.098914    0.094831    0.000000    0.995493
   -1.493396    0.000000    1.155268    0.086219    0.000000    0.996276
   -1.493396    0.000000    1.211623    0.077283    0.000000    0.997009
   -1.493396    0.000000    1.267977    0.068087    0.000000    0.997679
   -1.493396    0.000000    1.324332    0.058685    0.000000    0.998277
   -1.493396    0.000000    1.380686    0.049121    0.000000    0.998793
   -1.493396    0.000000    1.437041    0.039432    0.000000    0.999222
   -1.493396    0.000000    1.493396    0.029650    0.000000    0.999560
   -1.493396    0.000000    1.549750    0.019802    0.000000    0.999804
   -1.493396    0.000000    1.606105    0.009911    0.000000    0.999951
   -1.493396    0.000000    1.662459    0.000000    0.000000    1.000000
  
   -1.437041    0.000000   -1.662459   -0.000000    0.000000    1.000000
   -1.437041    0.000000   -1.606105   -0.013425    0.000000    0.999910
   -1.437041    0.000000   -1.549750   -0.026816    0.000000    0.999640
   -1.437041    0.000000   -1.493396   -0.040141    0.000000    0.999194
   -1.437041    0.000000   -1.437041   -0.053361    0.000000    0.998575
   -1.437041    0.000000   -1.380686   -0.066437    0.000000    0.997791
   -1.437041    0.000000   -1.324332   -0.079320    0.000000    0.996849
   -1.437041    0.000000   -1.267977   -0.091958    0.000000    0.995763
   -1.437041    0.000000   -1.211623   -0.104287    0.000000    0.994547
   -1.437041    0.000000   -1.155268   -0.116233    0.000000    0.993222
   -1.437041    0.000000   -1.098914   -0.127708    0.000000    0.991812
   -1.437041    0.000000   -1.042559   -0.138610    0.000000    0.990347
   -1.437041    0.000000   -0.986205   -0.148816    0.000000    0.988865
   -1.437041    0.000000   -0.929850   -0.158183    0.000000    0.987410
   -1.437041    0.000000   -0.873496   -0.166547    0.000000    0.986034
   -1.437041    0.000000   -0.817141   -0.173713    0.000000    0.984796
   -1.437041    0.000000   -0.760786   -0.179462    0.000000    0.983765
   -1.437041    0.000000   -0.704432   -0.183543    0.000000    0.983012
   -1.437041    0.000000   -0.648077   -0.185680    0.000000    0.982610
   -1.437041    0.000000   -0.591723   -0.185571    0.000000    0.982631
   -1.437041    0.000000   -0.535368   -0.182898    0.000000    0.983132
   -1.437041    0.000000   -0.479014   -0.177345    0.000000    0.984149
   -1.437041    0.000000   -0.422659   -0.168612    0.000000    0.985683
   -1.437041    0.000000   -0.366305   -0.156454    0.000000    0.987685
   -1.437041    0.000000   -0.309950   -0.140719    0.000000    0.990050
   -1.437041    0.000000   -0.253595   -0.121394    0.000000    0.992604
   -1.437041    0.000000   -0.197241   -0.098654    0.000000    0.995122
   -1.437041    0.000000   -0.140886   -0.072898    0.000000    0.997339
   -1.437041    0.000000   -0.084532   -0.044761    0.000000    0.998998
   -1.437041    0.000000   -0.028177   -0.015096    0.000000    0.999886
   -1.437041    0.000000    0.028177    0.015096    0.000000    0.999886
   -1.437041    0.000000    0.084532    0.044761    0.000000    0.998998
   -1.437041    0.000000    0.140886    0.072898    0.000000    0.997339
   -1.437041    0.000000    0.197241    0.098654    0.000000    0.995122
   -1.437041    0.000000    0.253595    0.121394    0.000000    0.992604
   -1.437041    0.000000    0.309950    0.140719    0.000000    0.990050
   -1.437041    0.000000    0.366305    0.156454    0.000000    0.987685
   -1.437041    0.000000    0.422659    0.168612    0.000000    0.985683
   -1.437041    0.000000    0.479014    0.177345    0.000000    0.984149
   -1.437041    0.000000    0.535368    0.182898    0.000000    0.983132
   -1.437041    0.000000    0.591723    0.185571    0.000000    0.982631
   -1.437041    0.000000    0.648077    0.185680    0.000000    0.982610
   -1.437041    0.000000    0.704432    0.183543    0.000000    0.983012
   -1.437041    0.000000    0.760786    0.179462    0.000000    0.983765
   -1.437041    0.000000    0.817141    0.173713    0.000000    0.984796
   -1.437041    0.000000    0.873496    0.166547    0.000000    0.986034
   -1.437041    0.000000    0.929850    0.158183    0.000000    0.987410
   -1.437041    0.000000    0.986205    0.148816    0.000000    0.988865
   -1.437041    0.000000    1.042559    0.138610    0.000000    0.990347
   -1.437041    0.000000    1.098914    0.127708    0.000000    0.991812
   -1.437041    0.000000    1.155268    0.116233    0.000000    0.993222
   -1.437041    0.000000    1.211623    0.104287    0.000000    0.994547
   -1.437041    0.000000    1.267977    0.091958    0.000000    0.995763
   -1.437041    0.000000    1.324332    0.079320    0.000000    0.996849
   -1.437041    0.000000    1.380686    0.066437    0.000000    0.997791
   -1.437041    0.000000    1.437041    0.053361    0.000000    0.998575
   -1.437041    0.000000    1.493396    0.040141    0.000000    0.999194
   -1.437041    0.000000    1.549750    0.026816    0.000000    0.999640
   -1.437041    0.000000    1.606105    0.013425    0.000000    0.999910
   -1.437041    0.000000    1.662459    0.000000    0.000000    1.000000
  
   -1.380686    0.000000   -1.662459   -0.000000    0.000000    1.000000
   -1.380686    0.000000   -1.606105   -0.017134    0.000000    0.999853
   -1.380686    0.000000   -1.549750   -0.034217    0.000000    0.999414
   -1.380686    0.000000   -1.493396   -0.051197    0.000000    0.998689
   -1.380686    0.000000   -1.437041   -0.068019    0.000000    0.997684
   -1.380686    0.000000   -1.380686   -0.084624    0.000000    0.996413
   -1.380686    0.000000   -1.324332   -0.100944    0.000000    0.994892
   -1.380686    0.000000   -1.267977   -0.116906    0.000000    0.993143
   -1.380686    0.000000   -1.211623   -0.132424    0.000000    0.991193
   -1.380686    0.000000   -1.155268   -0.147401    0.000000    0.989077
   -1.380686    0.000000   -1.098914   -0.161725    0.000000    0.986836
   -1.380686    0.000000   -1.042559   -0.175265    0.000000    0.984521
   -1.380686    0.000000   -0.986205   -0.187873    0.000000    0.982193
   -1.380686    0.000000   -0.929850   -0.199374    0.000000    0.979923
   -1.380686    0.000000   -0.873496   -0.209570    0.000000    0.977794
   -1.380686    0.000000   -0.817141   -0.218232    0.000000    0.975897
   -1.380686    0.000000   -0.760786   -0.225099    0.000000    0.974336
   -1.380686    0.000000   -0.704432   -0.229879    0.000000    0.973219
   -1.380686    0.000000   -0.648077   -0.232245    0.000000    0.972657
   -1.380686    0.000000   -0.591723   -0.231843    0.000000    0.972753
   -1.380686    0.000000   -0.535368   -0.228295    0.000000    0.973592
   -1.380686    0.000000   -0.479014   -0.221219    0.000000    0.975224
   -1.380686    0.000000   -0.422659   -0.210249    0.000000    0.977648
   -1.380686    0.000000   -0.366305   -0.195074    0.000000    0.980789
   -1.380686    0.000000   -0.309950   -0.175486    0.000000    0.984482
   -1.380686    0.000000   -0.253595   -0.151444    0.000000    0.988466
   -1.380686    0.000000   -0.197241   -0.123136    0.000000    0.992390
   -1.380686    0.000000   -0.140886   -0.091035    0.000000    0.995848
   -1.380686    0.000000   -0.084532   -0.055922    0.000000    0.998435
   -1.380686    0.000000   -0.028177   -0.018865    0.000000    0.999822
   -1.380686    0.000000    0.028177    0.018865    0.000000    0.999822
   -1.380686    0.000000    0.084532    0.055922    0.000000    0.998435
   -1.380686    0.000000    0.140886    0.091035    0.000000    0.995848
   -1.380686    0.000000    0.197241    0.123136    0.000000    0.992390
   -1.380686    0.000000    0.253595    0.151444    0.000000    0.988466
   -1.380686    0.000000    0.309950    0.175486    0.000000    0.984482
   -1.380686    0.000000    0.366305    0.195074    0.000000    0.980789
   -1.380686    0.000000    0.422659    0.210249    0.000000    0.977648
   -1.380686    0.000000    0.479014    0.221219    0.000000    0.975224
   -1.380686    0.000000    0.535368    0.228295    0.000000    0.973592
   -1.380686    0.000000    0.591723    0.231843    0.000000    0.972753
   -1.380686    0.000000    0.648077    0.232245    0.000000    0.972657
   -1.380686    0.000000    0.704432    0.229879    0.000000    0.973219
   -1.380686    0.000000    0.760786    0.225099    0.000000    0.974336
   -1.380686    0.000000    0.817141    0.218232    0.000000    0.975897
   -1.380686    0.000000    0.873496    0.209570    0.000000    0.977794
   -1.380686    0.000000    0.929850    0.199374    0.000000    0.979923
   -1.380686    0.000000    0.986205    0.187873    0.000000    0.982193
   -1.380686    0.000000    1.042559    0.175265    0.000000    0.984521
   -1.380686    0.000000    1.098914    0.161725    0.000000    0.986836
   -1.380686    0.000000    1.155268    0.147401    0.000000    0.989077
   -1.380686    0.000000    1.211623    0.132424    0.000000    0.991193
   -1.380686    0.000000    1.267977    0.116906    0.000000    0.993143
   -1.380686    0.000000    1.324332    0.100944    0.000000    0.994892
   -1.380686    0.000000    1.380686    0.084624    0.000000    0.996413
   -1.380686    0.000000    1.437041    0.068019    0.000000    0.997684
   -1.380686    0.000000    1.493396    0.051197    0.000000    0.998689
   -1.380686    0.000000    1.549750    0.034217    0.000000    0.999414
   -1.380686    0.000000    1.606105    0.017134    0.000000    0.999853
   -1.380686    0.000000    1.662459    0.000000    0.000000    1.000000
  
   -1.324332    0.000000   -1.662459   -0.000000    0.000000    1.000000
   -1.324332    0.000000   -1.606105   -0.021110    0.000000    0.999777
   -1.324332    0.000000   -1.549750   -0.042143    0.000000    0.999112
   -1.324332    0.000000   -1.493396   -0.063022    0.000000    0.998012
   -1.324332    0.000000   -1.437041   -0.083666    0.000000    0.996494
   -1.324332    0.000000   -1.380686   -0.103988    0.000000    0.994579
   -1.324332    0.000000   -1.324332   -0.123898    0.000000    0.992295
   -1.324332    0.000000   -1.267977   -0.143295    0.000000    0.989680
   -1.324332    0.000000   -1.211623   -0.162067    0.000000    0.986780
   -1.324332    0.000000   -1.155268   -0.180093    0.000000    0.983650
   -1.324332    0.000000   -1.098914   -0.197234    0.000000    0.980356
   -1.324332    0.000000   -1.042559   -0.213336    0.000000    0.976979
   -1.324332    0.000000   -0.986205   -0.228223    0.000000    0.973609
   -1.324332    0.000000   -0.929850   -0.241697    0.000000    0.970352
   -1.324332    0.000000   -0.873496   -0.253534    0.000000    0.967327
   -1.324332    0.000000   -0.817141   -0.263477    0.000000    0.964666
   -1.324332    0.000000   -0.760786   -0.271240    0.000000    0.962512
   -1.324332    0.000000   -0.704432   -0.276497    0.000000    0.961015
   -1.324332    0.000000   -0.648077   -0.278888    0.000000    0.960324
   -1.324332    0.000000   -0.591723   -0.278018    0.000000    0.960576
   -1.324332    0.000000   -0.535368   -0.273459    0.000000    0.961884
   -1.324332    0.000000   -0.479014   -0.264774    0.000000    0.964311
   -1.324332    0.000000   -0.422659   -0.251531    0.000000    0.967849
   -1.324332    0.000000   -0.366305   -0.233350    0.000000    0.972393
   -1.324332    0.000000   -0.309950   -0.209961    0.000000    0.977710
   -1.324332    0.000000   -0.253595   -0.181277    0.000000    0.983432
   -1.324332    0.000000   -0.197241   -0.147479    0.000000    0.989065
   -1.324332    0.000000   -0.140886   -0.109097    0.000000    0.994031
   -1.324332    0.000000   -0.084532   -0.067050    0.000000    0.997750
   -1.324332    0.000000   -0.028177   -0.022625    0.000000    0.999744
   -1.324332    0.000000    0.028177    0.022625    0.000000    0.999744
   -1.324332    0.000000    0.084532    0.067050    0.000000    0.997750
   -1.324332    0.000000    0.140886    0.109097    0.000000    0.994031
   -1.324332    0.000000    0.197241    0.147479    0.000000    0.989065
   -1.324332    0.000000    0.253595    0.181277    0.000000    0.983432
   -1.324332    0.000000    0.309950    0.209961    0.000000    0.977710
   -1.324332    0.000000    0.366305    0.233350    0.000000    0.972393
   -1.324332    0.000000    0.422659    0.251531    0.000000    0.967849
   -1.324332    0.000000    0.479014    0.264774    0.000000    0.964311
   -1.324332    0.000000    0.535368    0.273459    0.000000    0.961884
   -1.324332    0.000000    0.591723    0.278018    0.000000    0.960576
   -1.324332    0.000000    0.648077    0.278888    0.000000    0.960324
   -1.324332    0.000000    0.704432    0.276497    0.000000    0.961015
   -1.324332    0.000000    0.760786    0.271240    0.000000    0.962512
   -1.324332    0.000000    0.817141    0.263477    0.000000    0.964666
   -1.324332    0.000000    0.873496    0.253534    0.000000    0.967327
   -1.324332    0.000000    0.929850    0.241697    0.000000    0.970352
   -1.324332    0.000000    0.986205    0.228223    0.000000    0.973609
   -1.324332    0.000000    1.042559    0.213336    0.000000    0.976979
   -1.324332    0.000000    1.098914    0.197234    0.000000    0.980356
   -1.324332    0.000000    1.155268    0.180093    0.000000    0.983650
   -1.324332    0.000000    1.211623    0.162067    0.000000    0.986780
   -1.324332    0.000000    1.267977    0.143295    0.000000    0.989680
   -1.324332    0.000000    1.324332    0.123898    0.000000    0.992295
   -1.324332    0.000000    1.380686    0.103988    0.000000    0.994579
   -1.324332    0.000000    1.437041    0.083666    0.000000    0.996494
   -1.324332    0.000000    1.493396    0.063022    0.000000    0.998012
   -1.324332    0.000000    1.549750    0.042143    0.000000    0.999112
