# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.00000000   -0.00000000    0.55415308    0.00000003   -0.00000001   -0.00000000   -0.00000000    0.16666667
    0.00000000    0.00000000   -0.55415308    0.00000002   -0.00000001    0.00000000    0.00000000   -0.16666667
